nohup: ignoring input
t=2026-08-27T21:07:04+0000 lvl=info msg="no configuration paths supplied"
t=2026-08-27T21:07:04+0000 lvl=info msg="using configuration at default config path" path=/data/data/com.termux/files/home/.config/ngrok/ngrok.yml
t=2026-08-27T21:07:04+0000 lvl=info msg="open config file" path=/data/data/com.termux/files/home/.config/ngrok/ngrok.yml err=<nil>
t=2026-08-27T21:07:04+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-27T21:07:04+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-27T21:07:05+0000 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.ngrok-agent.com/check\": tls: failed to verify certificate: x509: certificate signed by unknown authority"
t=2026-08-27T21:07:06+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-27T21:07:06+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-27T21:07:06+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://unison-scanning-ladder.ngrok-free.dev
t=2026-08-27T21:11:50+0000 lvl=info msg="join connections" obj=join id=176797dd17cd l=127.0.0.1:3000 r=15.204.11.112:32962
t=2026-08-27T21:12:25+0000 lvl=info msg="join connections" obj=join id=deb6750fb1d8 l=127.0.0.1:3000 r=15.204.11.112:41398
t=2026-08-27T21:12:34+0000 lvl=info msg="join connections" obj=join id=19ae321c8c85 l=127.0.0.1:3000 r=15.204.11.112:41398
t=2026-08-27T21:12:50+0000 lvl=info msg="join connections" obj=join id=4749e3031b77 l=127.0.0.1:3000 r=15.204.11.112:48058
t=2026-08-27T21:12:50+0000 lvl=info msg="join connections" obj=join id=a65a640bd2cd l=127.0.0.1:3000 r=15.204.11.112:48058
t=2026-08-27T21:13:11+0000 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=1767c4c32837 clientid=bd13ed88e6bf6e9013d710946e93d0af
t=2026-08-27T21:13:11+0000 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=1eb2ddbdbb09 err="session closed"
t=2026-08-27T21:13:16+0000 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com on [::1]:53: server misbehaving"
t=2026-08-27T21:13:16+0000 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com on [::1]:53: server misbehaving"
t=2026-08-27T21:13:23+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-27T21:13:23+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-27T21:13:26+0000 lvl=info msg="join connections" obj=join id=cbd5b2072982 l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:13:26+0000 lvl=info msg="join connections" obj=join id=9a22b7d973cb l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:13:26+0000 lvl=info msg="join connections" obj=join id=a19ac7678c2d l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:13:26+0000 lvl=info msg="join connections" obj=join id=1ce0bc6b36ac l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:13:39+0000 lvl=info msg="join connections" obj=join id=640e56593b6b l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:13:54+0000 lvl=info msg="join connections" obj=join id=fe02cbdd70ce l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:14:09+0000 lvl=info msg="join connections" obj=join id=1f2d1478e885 l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:14:09+0000 lvl=info msg="join connections" obj=join id=431dffecdc75 l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:14:24+0000 lvl=info msg="join connections" obj=join id=8c15c068ee9e l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:14:24+0000 lvl=info msg="join connections" obj=join id=cf24ebedd82a l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:14:36+0000 lvl=info msg="join connections" obj=join id=6cf7609b122f l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:14:57+0000 lvl=info msg="join connections" obj=join id=f16604375013 l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:14:58+0000 lvl=info msg="join connections" obj=join id=cd09d339386d l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:15:00+0000 lvl=info msg="join connections" obj=join id=45a15f5223cb l=127.0.0.1:3000 r=104.248.243.0:35742
t=2026-08-27T21:15:09+0000 lvl=info msg="join connections" obj=join id=315986e51b48 l=127.0.0.1:3000 r=104.248.243.0:44532
t=2026-08-27T21:15:14+0000 lvl=info msg="join connections" obj=join id=ad70c76eae7b l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:15:14+0000 lvl=info msg="join connections" obj=join id=31d0e15ff34b l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:15:14+0000 lvl=info msg="join connections" obj=join id=ab2f94b18fe4 l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:15:15+0000 lvl=info msg="join connections" obj=join id=d5cb2151563d l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:15:15+0000 lvl=info msg="join connections" obj=join id=8d7e67812ba5 l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:15:15+0000 lvl=info msg="join connections" obj=join id=2ee16a626f64 l=127.0.0.1:3000 r=15.204.11.112:55770
t=2026-08-27T21:15:29+0000 lvl=info msg="join connections" obj=join id=e90eda639576 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:29+0000 lvl=info msg="join connections" obj=join id=d17f93bd62e1 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:29+0000 lvl=info msg="join connections" obj=join id=c844af59fb91 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:29+0000 lvl=info msg="join connections" obj=join id=1280d7b31112 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:29+0000 lvl=info msg="join connections" obj=join id=e9556be7fd50 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:30+0000 lvl=info msg="join connections" obj=join id=629c1ef446e6 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:40+0000 lvl=info msg="join connections" obj=join id=2515adc63b4d l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:40+0000 lvl=info msg="join connections" obj=join id=e376f8a5af79 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:40+0000 lvl=info msg="join connections" obj=join id=ef186ee0333a l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:40+0000 lvl=info msg="join connections" obj=join id=d282828c212a l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:40+0000 lvl=info msg="join connections" obj=join id=93721aff2aaa l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:42+0000 lvl=info msg="join connections" obj=join id=bfdbb5037fa2 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:42+0000 lvl=info msg="join connections" obj=join id=118d8562b722 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:48+0000 lvl=info msg="join connections" obj=join id=af2295ffc441 l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:49+0000 lvl=info msg="join connections" obj=join id=9adf67da9c7f l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:49+0000 lvl=info msg="join connections" obj=join id=ca1d35ac6b0e l=127.0.0.1:3000 r=15.204.11.112:54622
t=2026-08-27T21:15:53+0000 lvl=info msg="join connections" obj=join id=4730f23910c2 l=127.0.0.1:3000 r=15.204.11.112:47336
t=2026-08-27T21:15:53+0000 lvl=info msg="join connections" obj=join id=4ca38186944b l=127.0.0.1:3000 r=15.204.11.112:47336
t=2026-08-27T21:16:03+0000 lvl=info msg="join connections" obj=join id=412d2125be81 l=127.0.0.1:3000 r=15.204.11.112:47336
t=2026-08-27T21:16:05+0000 lvl=info msg="join connections" obj=join id=3f0f9b98d567 l=127.0.0.1:3000 r=104.248.243.0:42086
t=2026-08-27T21:16:10+0000 lvl=info msg="join connections" obj=join id=32561b5dd985 l=127.0.0.1:3000 r=15.204.11.112:47336
